date,country,href,tite
2003-08-07,Middle East and North Africa,/en/documents/mde23/004/2003/es/,ARABIA SAUDÍ . Riesgo de ejecución/preocupación jurídica/temor de tortura
2003-08-07,Middle East and North Africa,/en/documents/mde23/004/2003/fr/,ARABIE SAOUDITE. RISQUE D'EXÉCUTION ET DE TORTURE / CRAINTES D'ORDRE JURIDIQUE.
2003-08-07,Egypt,/en/documents/mde12/012/2003/fr/,ÉGYPTE. PRISONNIER D'OPINION / PRÉOCCUPATIONS POUR LA SANTÉ.
2003-08-07,Canada,/en/documents/mde24/029/2003/fr/,SYRIE / ÉTATS-UNIS / CANADA. RENVOI FORCÉ / CRAINTES DE TORTURE /
2003-08-07,Malawi,/en/documents/amr51/116/2003/fr/,"États-Unis. DÉTENTION AU SECRET / CRAINTES DE MAUVAIS TRAITEMENTS / PRÉOCCUPATIONS D?ORDRE JURIDIQUE.sant soudanais ; Khalifa Abdi Hassan (h), ressortissant kenyan"
2003-08-07,Iran,/en/documents/mde13/028/2003/fr/,IRAN. TORTURE OU MAUVAIS TRAITEMENTS / CRAINTES DE PROCÈS INÉQUITABLE / PEINE DE MORT.
2003-08-06,Eritrea,/en/documents/mde19/017/2003/es/,LIBIA. Devolución / temor por la seguridad / temor de tortura
2003-08-06,Sudan,/en/documents/afr54/070/2003/es/,SUDAN. Temor por la seguridad / temor de tortura o malos tratos / detención en régimen de incomunicación
2003-08-06,Sudan,/en/documents/afr54/070/2003/en/,Sudan: Further Information on Fear for safety/fear of torture or ill-treatment/incommunicado detention
2003-08-06,Syria,/en/documents/mde13/027/2003/fr/,IRAN / SYRIE / ROYAUME-UNI. « DISPARITIONS » / RENVOI FORCÉ PRÉSUMÉ / DÉTENTION AU SECRET CRAINTES DE TORTURE OU DE MAUVAIS TRAITEMENTS.
2003-08-06,Americas,/en/documents/amr34/048/2003/fr/,GUATÉMALA. CRAINTES POUR LA SÉCURITÉ.
2003-08-06,Syria,/en/documents/mde13/027/2003/es/,"IRAN. Desaparición""/ Posible devolución/Detención en régimen de incomunicación/Temor de tortura o malos tratos"
2003-08-06,Eritrea,/en/documents/mde19/017/2003/en/,Libya: Further information on Forcible return / fear for safety / fear of torture
2003-08-06,Americas,/en/documents/amr34/048/2003/en/,Guatemala: Fear for Safety  -  Gustavo Meoño Brenner (m)
2003-08-06,United States of America,/en/documents/amr51/115/2003/en/,"USA  (Tennessee): Death penalty/Legal concern  - Philip Ray Workman (m), white, aged 48"
2003-08-06,Americas,/en/documents/amr34/048/2003/es/,GUATEMALA. Temor por la seguridad
2003-08-06,Syria,/en/documents/mde13/027/2003/en/,"Iran: Further information on Disappearance""/ Possible forcible return/Incommunicado detention/ Fear of torture or ill-treatment"
2003-08-06,United States of America,/en/documents/amr51/115/2003/fr/,ÉTATS-UNIS (TENNESSEE). PEINE DE MORT / PRÉOCCUPATIONS D?ORDRE JURIDIQUE.
2003-08-06,Eritrea,/en/documents/mde19/017/2003/fr/,LIBYE. CRAINTES DE RENVOI FORCÉ / CRAINTES POUR LA SÉCURITÉ / CRAINTES DE TORTURE.q hommes ci-dessus sont à présent connus)
2003-08-06,Sudan,/en/documents/afr54/070/2003/fr/,"SOUDAN. CRAINTES POUR LA SÉCURITÉ / CRAINTES DE TORTURE OU DE MAUVAIS TRAITEMENTS /llah (h), shertai (chef de tribu four) dans l?est de la région montagneuse du Djebel Marra, environ 70 ans), sheikh (responsable de village), 50 ansd de Kebkabiya"
2003-08-06,United States of America,/en/documents/amr51/115/2003/es/,Pena de muerte / preocupación jurídica
2003-08-05,Qatar,/en/documents/amr51/112/2003/en/,"USA: Incommunicado detention/detention without charge/legal concern, Ali-Saleh Kahlah al-Marri (m)"
2003-08-05,Qatar,/en/documents/amr51/112/2003/es/,Detención en régimen de incomunicación / detención sin cargos / preocupación jurídica
2003-08-05,Americas,/en/documents/amr23/053/2003/fr/,COLOMBIE. CRAINTES POUR LA SÉCURITÉ.
2003-08-05,Americas,/en/documents/amr23/053/2003/es/,COLOMBIA. Temor por la seguridad
2003-08-05,Qatar,/en/documents/amr51/112/2003/fr/,ÉTATS-UNIS. DÉTENTION AU SECRET / DÉTENTION SANS INCULPATION / PRÉOCCUPATIONS D?ORDRE JURIDIQUE.
2003-08-05,Americas,/en/documents/amr23/053/2003/en/,Colombia: Further information on Fear for Safety.
2003-08-03,Nepal,/en/documents/asa31/025/2003/fr/,NÉPAL. CRAINTES DE « DISPARITION »  CRAINTES POUR LA SÉCURITÉ. Pramod Kumar Shrestha (h)
2003-08-03,Burundi,/en/documents/afr16/013/2003/fr/,"BURUNDI. CRAINTES DE TORTURE ET DE MAUVAIS TRAITEMENTS.o (h), commerçant de Kayogoro, dans la province de Makamba ; Luc Ndikuriyo (h), époux de Pétronile Banyekazo ;peut-être d?autres personnes Piri (h), son employé"
2003-08-03,Indonesia,/en/documents/asa21/039/2003/en/,Indonesia: Fear of torture or ill-treatment / medical concern
2003-08-03,Nepal,/en/documents/asa31/025/2003/en/,"Nepal:Further information on Fear of ""disappearance""/fear for safety: Pramod    Kumar Shrestha"
2003-08-03,Burundi,/en/documents/afr16/013/2003/en/,Burundi: Further information on Fear of ill-treatment and torture
2003-08-03,Indonesia,/en/documents/asa21/039/2003/es/,INDONESIA. Temor de tortura o malos tratos / preocupación por la salud
2003-08-03,Nepal,/en/documents/asa31/025/2003/es/,"NEPAL. Temor de ""desaparición"" / temor por la seguridad"
2003-08-03,Burundi,/en/documents/afr16/013/2003/es/,BURUNDI. Temor de tortura y malos tratos
2003-08-03,Indonesia,/en/documents/asa21/039/2003/fr/,INDONÉSIE. CRAINTES DE TORTURE OU DE MAUVAIS TRAITEMENTS / PREOCCUPATIONS POUR LA SANTÉ.ans ;tués :
2003-07-31,Sudan,/en/documents/afr54/067/2003/es/,SUDAN. Temor por la seguridad / temor de tortura o malos tratos / detención en régimen de incomunicación
2003-07-31,Americas,/en/documents/amr34/046/2003/fr/,GUATÉMALA. CRAINTES POUR LA SÉCURITÉ / HARCÈLEMENT / ACTES D?INTIMIDATION.
2003-07-31,Sudan,/en/documents/afr54/067/2003/en/,Sudan: Fear for safety / fear of torture or ill-treatment
2003-07-31,Iran,/en/documents/mde13/025/2003/fr/,Iran: Craintes pour la sécurité / détention au secret /craintes de torture et de mauvais traitements/prisonniers d’opinion
2003-07-31,Americas,/en/documents/amr51/111/2003/fr/,ÉTATS-UNIS (OHIO). PEINE DE MORT.
2003-07-31,Sudan,/en/documents/afr54/067/2003/fr/,SOUDAN. CRAINTES POUR LA SÉCURITÉ /CRAINTES DE TORTURE OU DE MAUVAIS TRAITEMENTS /ogie
2003-07-31,Americas,/en/documents/amr34/046/2003/en/,Guatemala: Fear for Safety/Harassment/Intimidation
2003-07-31,Americas,/en/documents/amr51/111/2003/en/,"America (Ohio): Further information on Death penalty, Richard Wade Cooey"
2003-07-31,Americas,/en/documents/amr51/111/2003/es/,EE. UU. (Ohio).  Pena de muerte
2003-07-31,Americas,/en/documents/amr34/046/2003/es/,GUATEMALA. Temor por la seguridad / acoso / intimidación
2003-07-30,Iran,/en/documents/mde13/024/2003/es/,"IRAN.Temor por la seguridad, detención en régimen de incomunicación, riesgo de tortura y malos tratos."
2003-07-30,Iran,/en/documents/mde13/024/2003/en/,Iran: Further information on Fear for safety/Incommunicado detention/Risk of torture and ill-treatment
2003-07-30,Indonesia,/en/documents/asa21/038/2003/en/,Indonesia: Further information on Fear of torture / Possible prisoners of  conscience.
2003-07-30,Iran,/en/documents/mde13/024/2003/fr/,IRAN. CRAINTES POUR LA SÉCURITÉ / DÉTENTION AU SECRET /CRAINTES DE TORTURE ET DE MAUVAIS TRAITEMENTSabibi (h)
2003-07-30,Indonesia,/en/documents/asa21/038/2003/fr/,"INDONÉSIE. CRAINTES DE TORTURE / PRISONNIERS D'OPINION PRÉSUMÉS.Akman (h), étudiant, 24 ans"
2003-07-30,Iran,/en/documents/mde13/025/2003/en/,Iran: Fear for safety/ Incommunicado detention/ Risk of torture and ill-treatment/Prisoners of conscience (POCs)
2003-07-30,Iran,/en/documents/mde13/025/2003/es/,IRAN.Temor por la seguridad/Detención en régimen de incomunicación/Riesgo de tortura y malos tratos/Presos de conciencia
2003-07-30,Indonesia,/en/documents/asa21/038/2003/es/,INDONESIA. Temor de tortura / Posibles presos de conciencia
2003-07-29,Viet Nam,/en/documents/asa41/021/2003/es/,VIETNAM . Temor de ejecución inminente
2003-07-29,Viet Nam,/en/documents/asa41/021/2003/en/,Viet Nam: Fear of imminent execution
2003-07-29,Sudan,/en/documents/afr54/066/2003/en/,Sudan: Fear for safety/fear of torture or ill-treatment/incommunicado detention
2003-07-29,Sudan,/en/documents/afr54/066/2003/fr/,"SOUDAN. CRAINTES POUR LA SÉCURITÉ / CRAINTES DE TORTURE OU DE MAUVAIS TRAITEMENTSah (h), shertai (chef de tribu four) dans l?est de la région montagneuse du Djebel Marra, environ 70 ans sheikh (responsable de village), 50 ans"
2003-07-29,Sudan,/en/documents/afr54/065/2003/en/,"Sudan: Further information on Incommunicado detention / Fear of torture or ill-treatment, Adam Abdel Hamid Adam"
2003-07-29,Sudan,/en/documents/afr54/065/2003/es/,SUDAN. Detención en régimen de incomunicación / temor de tortura o malos tratos
2003-07-29,Indonesia,/en/documents/asa21/037/2003/es/,INDONESIA. Temor por la seguridad
2003-07-29,Viet Nam,/en/documents/asa41/021/2003/fr/,VIÊT-NAM. CRAINTES D?EXÉCUTIONS IMMINENTES.
2003-07-29,Middle East and North Africa,/en/documents/mde24/028/2003/en/,"Syria: Further information on Risk of torture or ill-treatment/Possible prisoner of conscience/Incommunicado detention/Medical concern, 'Abd el-Razaq ('Abu Shaker') Shoullar"
2003-07-29,Indonesia,/en/documents/asa21/037/2003/fr/,"INDONÉSIE (ACEH). CRAINTES POUR LA SÉCURITÉ. d?une chaîne de télévision, 40 ans"
